Order_date,number_of_pallet,Nb_of_colli,Workload(hrs),Total_number_of_pallet,Number_of_orders,order_freq,day,month,week,quarter
2023-05-05,437.0,1577.0,336.39,469.0,3714,high,5,5,18,2
2023-05-08,636.0,2299.0,481.26,682.0,3541,medium,8,5,19,2
2023-05-09,681.0,1794.0,485.76,717.0,5298,high,9,5,19,2
2023-05-10,542.0,1650.0,395.05,575.0,3285,medium,10,5,19,2
2023-05-11,223.0,1832.0,239.79,260.0,2892,medium,11,5,19,2
2023-05-12,418.0,1249.0,308.05,443.0,3614,high,12,5,19,2
2023-05-15,514.0,2770.0,451.04,569.0,4595,high,15,5,20,2
2023-05-16,191.0,1526.0,205.08,222.0,2558,medium,16,5,20,2
2023-05-17,201.0,1720.0,219.83,235.0,2854,medium,17,5,20,2
2023-05-19,171.0,1815.0,201.49,207.0,2827,medium,19,5,20,2
2023-05-22,1117.0,2401.0,737.37,1165.0,4417,high,22,5,21,2
2023-05-23,115.0,2052.0,194.98,156.0,3893,high,23,5,21,2
2023-05-24,209.0,1519.0,213.71,239.0,3099,medium,24,5,21,2
2023-05-25,1061.0,2031.0,678.36,1102.0,3006,medium,25,5,21,2
2023-05-26,910.0,1601.0,582.26,942.0,3568,low,26,5,21,2
2023-05-30,161.0,1759.0,203.58,196.0,2960,medium,30,5,22,2
2023-05-31,1057.0,2247.0,698.61,1102.0,3585,low,31,5,22,2
2023-06-01,1334.0,2451.0,853.08,1383.0,4409,high,1,6,22,2
2023-06-02,828.0,1872.0,556.58,865.0,3904,high,2,6,22,2
2023-06-05,1658.0,2090.0,1004.41,1700.0,4759,high,5,6,23,2
2023-06-06,569.0,2019.0,437.49,609.0,4554,high,6,6,23,2
2023-06-07,228.0,2578.0,287.93,280.0,4104,high,7,6,23,2
2023-06-08,181.0,2894.0,262.92,239.0,2817,medium,8,6,23,2
2023-06-09,433.0,2667.0,398.27,486.0,4524,high,9,6,23,2
2023-06-12,650.0,2426.0,496.23,699.0,3875,high,12,6,24,2
2023-06-13,700.0,2373.0,515.76,747.0,4077,high,13,6,24,2
2023-06-14,156.0,1971.0,209.49,195.0,3146,medium,14,6,24,2
2023-06-15,414.0,2552.0,380.52,465.0,3701,high,15,6,24,2
2023-06-16,364.0,1901.0,308.72,402.0,3180,medium,16,6,24,2
2023-06-19,478.0,2043.0,390.76,519.0,4300,high,19,6,25,2
2023-06-20,385.0,2442.0,366.29,434.0,5661,high,20,6,25,2
2023-06-21,449.0,2417.0,391.85,497.0,3817,high,21,6,25,2
2023-06-22,234.0,1488.0,221.68,264.0,2707,medium,22,6,25,2
2023-06-23,288.0,2005.0,276.13,328.0,3279,medium,23,6,25,2
2023-06-26,590.0,2805.0,493.85,646.0,5502,high,26,6,26,2
2023-06-27,562.0,1695.0,403.67,596.0,3116,medium,27,6,26,2
2023-06-28,80.0,1663.0,152.31,113.0,2504,medium,28,6,26,2
2023-06-30,214.0,1238.0,201.05,239.0,2781,medium,30,6,26,2
2023-07-03,942.0,3849.0,731.47,1019.0,5367,high,3,7,27,3
2023-07-04,275.0,1897.0,271.69,313.0,3819,high,4,7,27,3
2023-07-05,161.0,2389.0,245.81,209.0,4245,high,5,7,27,3
2023-07-06,589.0,2587.0,474.4,641.0,4524,high,6,7,27,3
2023-07-07,461.0,2202.0,382.49,505.0,4017,high,7,7,27,3
2023-07-10,407.0,2973.0,404.51,466.0,4992,high,10,7,28,3
2023-07-11,81.0,2177.0,189.61,125.0,3931,high,11,7,28,3
2023-07-12,419.0,1559.0,322.89,450.0,2981,medium,12,7,28,3
2023-07-13,785.0,1780.0,535.85,821.0,3166,medium,13,7,28,3
2023-07-14,411.0,1318.0,302.09,437.0,2784,medium,14,7,28,3
2023-07-17,1873.0,2795.0,1168.2,1929.0,6658,high,17,7,29,3
2023-07-18,403.0,1686.0,326.53,437.0,3846,high,18,7,29,3
2023-07-19,439.0,1592.0,336.0,471.0,2808,medium,19,7,29,3
2023-07-20,541.0,1948.0,412.96,580.0,3610,high,20,7,29,3
2023-07-24,796.0,2798.0,581.88,852.0,3113,medium,24,7,30,3
2023-07-25,252.0,2570.0,295.28,303.0,3892,high,25,7,30,3
2023-07-26,108.0,1499.0,157.04,138.0,2486,medium,26,7,30,3
2023-07-27,66.0,3108.0,222.9,128.0,3669,high,27,7,30,3
2023-07-28,283.0,1814.0,270.19,319.0,3650,high,28,7,30,3
2023-07-31,132.0,1455.0,164.5,161.0,1798,medium,31,7,31,3
