Order_date,T_Nb_of_pallets,Nb_of_colli,Time(hrs),Total_Nb_Pallet,Number_of_orders,Order_frequency,Month,Day,Week,Quarter
09-05-2022,129.0,1929.0,217.68,168.0,36,low,5,9,19,2
10-05-2022,223.0,1998.0,263.77,263.0,35,low,5,10,19,2
12-05-2022,490.0,2837.0,490.99,547.0,26,low,5,12,19,2
01-06-2023,65.0,1694.0,156.62,99.0,938,high,6,1,22,2
02-06-2023,262.0,2605.0,323.01,314.0,869,high,6,2,22,2
03-06-2023,151.0,2511.0,255.61,201.0,107,low,6,3,22,2
04-06-2023,141.0,1638.0,200.95,174.0,74,low,6,4,22,2
06-06-2023,267.0,2019.0,302.24,307.0,972,high,6,6,23,2
07-06-2022,124.0,1689.0,180.9,158.0,1011,high,6,7,23,2
07-06-2023,247.0,2587.0,316.01,299.0,1128,high,6,7,23,2
09-06-2022,286.0,2045.0,308.19,327.0,778,high,6,9,23,2
10-06-2022,28.0,2112.0,167.87,70.0,1093,high,6,10,23,2
02-07-2023,104.0,2605.0,244.21,156.0,276,low,7,2,26,3
03-07-2023,219.0,2344.0,278.82,266.0,1069,high,7,3,27,3
04-07-2023,242.0,1955.0,286.36,281.0,898,high,7,4,27,3
06-07-2023,128.0,2578.0,254.29,180.0,1073,high,7,6,27,3
07-07-2022,129.0,1851.0,206.42,166.0,687,high,7,7,27,3
07-07-2023,232.0,2202.0,281.31,276.0,902,high,7,7,27,3
09-07-2022,141.0,1292.0,164.92,167.0,133,low,7,9,27,3
11-07-2022,176.0,2732.0,292.78,231.0,831,high,7,11,28,3
12-07-2022,207.0,2166.0,270.07,250.0,582,medium,7,12,28,3
08-08-2022,313.0,2868.0,357.96,370.0,1031,high,8,8,32,3
09-08-2022,155.0,1914.0,218.3,193.0,790,high,8,9,32,3
11-08-2022,244.0,2285.0,293.04,290.0,828,high,8,11,32,3
12-08-2022,199.0,1854.0,242.32,236.0,1002,high,8,12,32,3
09-09-2022,130.0,2095.0,226.04,172.0,940,high,9,9,36,3
12-09-2022,200.0,2377.0,268.69,248.0,984,high,9,12,37,3
08-10-2022,96.0,1383.0,148.8,124.0,3,low,10,8,40,4
10-10-2022,281.0,2889.0,362.7,339.0,1404,high,10,10,41,4
11-10-2022,154.0,3048.0,284.66,215.0,721,high,10,11,41,4
07-11-2022,99.0,2180.0,204.51,143.0,1167,high,11,7,45,4
08-11-2022,108.0,2089.0,218.92,150.0,984,high,11,8,45,4
10-11-2022,126.0,1542.0,188.49,157.0,1126,high,11,10,45,4
07-12-2022,133.0,1650.0,189.39,166.0,945,high,12,7,49,4
08-12-2022,217.0,2208.0,267.75,261.0,734,high,12,8,49,4
09-12-2022,210.0,2588.0,292.52,262.0,960,high,12,9,49,4
10-12-2022,144.0,1553.0,190.71,175.0,4,low,12,10,49,4
12-12-2022,227.0,2225.0,280.71,272.0,832,high,12,12,50,4
13-01-2023,263.0,1760.0,295.0,298.0,803,high,1,13,2,1
13-02-2023,233.0,2722.0,316.82,287.0,951,high,2,13,7,1
13-03-2023,318.0,2400.0,344.89,366.0,1030,high,3,13,11,1
13-04-2023,91.0,1762.0,168.82,126.0,662,high,4,13,15,2
13-06-2023,223.0,2373.0,288.66,270.0,818,high,6,13,24,2
13-07-2022,126.0,1657.0,183.21,159.0,717,high,7,13,28,3
13-07-2023,205.0,1780.0,259.09,241.0,966,high,7,13,28,3
13-09-2022,139.0,1461.0,180.41,168.0,864,high,9,13,37,3
13-10-2022,209.0,2098.0,252.51,251.0,825,high,10,13,41,4
13-12-2022,285.0,2001.0,301.0,325.0,747,high,12,13,50,4
14-02-2023,174.0,2371.0,265.53,221.0,948,high,2,14,7,1
14-03-2023,147.0,2854.0,278.16,204.0,1307,high,3,14,11,1
14-04-2023,139.0,1815.0,201.41,175.0,589,medium,4,14,15,2
14-06-2023,97.0,1972.0,195.05,136.0,776,high,6,14,24,2
14-07-2022,113.0,2026.0,191.46,154.0,792,high,7,14,28,3
14-07-2023,165.0,1318.0,186.69,191.0,532,medium,7,14,28,3
14-09-2022,57.0,1727.0,160.28,92.0,875,high,9,14,37,3
14-10-2022,250.0,2377.0,293.82,298.0,1013,high,10,14,41,4
14-11-2022,201.0,2914.0,295.45,259.0,1393,high,11,14,46,4
14-12-2022,137.0,1975.0,211.47,176.0,787,high,12,14,50,4
15-02-2023,160.0,1894.0,228.93,198.0,817,high,2,15,7,1
15-03-2023,172.0,2056.0,257.99,213.0,966,high,3,15,11,1
15-05-2023,271.0,2770.0,352.76,326.0,961,high,5,15,20,2
15-06-2023,152.0,2552.0,270.11,203.0,999,high,6,15,24,2
15-07-2022,300.0,1412.0,258.14,328.0,504,medium,7,15,28,3
15-11-2022,226.0,2375.0,296.06,274.0,947,high,11,15,46,4
15-12-2022,101.0,1621.0,173.29,133.0,753,high,12,15,50,4
16-01-2023,291.0,2662.0,346.65,344.0,961,high,1,16,3,1
16-02-2023,142.0,2342.0,230.85,189.0,937,high,2,16,7,1
16-03-2023,107.0,2056.0,208.7,148.0,843,high,3,16,11,1
16-05-2023,191.0,1526.0,225.15,222.0,580,medium,5,16,20,2
16-06-2023,187.0,1901.0,229.4,225.0,595,medium,6,16,24,2
